Date,Open,High,Low,Close,Volume
2019/7/12,202.45,204,202.2,203.3,17595212
2019/7/11,203.31,204.39,201.71,201.75,20191842
2019/7/10,201.85,203.73,201.56,203.23,17897138
2019/7/9,199.2,201.51,198.81,201.24,20578015
2019/7/8,200.81,201.4,198.41,200.02,25338628
2019/7/5,203.35,205.08,202.9,204.23,17265518
2019/7/3,203.28,204.44,202.69,204.41,11362045
2019/7/2,201.41,203.132,201.36,202.73,16935217
2019/7/1,203.17,204.49,200.65,201.55,27316739
2019/6/28,198.68,199.495,197.05,197.92,31110642
2019/6/27,200.29,201.57,199.57,199.74,20899717
2019/6/26,197.77,200.99,197.35,199.8,26067512
2019/6/25,198.43,199.26,195.29,195.57,21070334
2019/6/24,198.54,200.16,198.17,198.58,18220421
2019/6/21,198.8,200.85,198.15,198.78,47800589
2019/6/20,200.37,200.61,198.03,199.46,21513988
2019/6/19,199.68,199.88,197.31,197.87,21124235
2019/6/18,196.05,200.29,195.21,198.45,26551004
2019/6/17,192.9,194.96,192.17,193.89,14669144
2019/6/14,191.545,193.586,190.3,192.74,18761474
2019/6/13,194.7,196.79,193.6,194.15,21674625
2019/6/12,193.95,195.97,193.385,194.19,18253189
2019/6/11,194.86,196,193.6,194.81,26932882
2019/6/10,191.81,195.37,191.62,192.58,26220851
2019/6/7,186.51,191.92,185.77,190.15,30684393
2019/6/6,183.08,185.47,182.149,185.22,22526311
2019/6/5,184.28,184.99,181.14,182.54,29773427
2019/6/4,175.44,179.83,174.52,179.64,30967961
2019/6/3,175.6,177.92,170.27,173.3,40396069
2019/5/31,176.23,177.99,174.99,175.07,27043584
2019/5/30,177.95,179.23,176.67,178.3,21218412
2019/5/29,176.42,179.35,176,177.38,28481165
2019/5/28,178.92,180.59,177.91,178.23,27948160
2019/5/24,180.2,182.14,178.62,178.97,23714686
2019/5/23,179.8,180.54,177.81,179.66,36529736
2019/5/22,184.66,185.71,182.55,182.78,29748556
2019/5/21,185.22,188,184.7,186.6,28364848
2019/5/20,183.52,184.349,180.284,183.09,38612290
2019/5/17,186.93,190.9,186.76,189,32879090
2019/5/16,189.91,192.469,188.84,190.08,33031364
2019/5/15,186.27,191.75,186.02,190.92,26544718
2019/5/14,186.41,189.7,185.41,188.66,36529677
2019/5/13,187.71,189.48,182.85,185.72,57430623
2019/5/10,197.419,198.85,192.77,197.18,41208712
2019/5/9,199.63,200.91,195.91,199.95,35043039
2019/5/8,201.13,204.55,200.98,202.12,26440936
2019/5/7,205.09,206.62,200.05,202.08,38912976
2019/5/6,203.51,208.04,202.72,207.68,32568050
2019/5/3,210.08,211.03,209.42,210.94,20972834
2019/5/2,209.04,211.83,207.33,208.35,32119541
2019/5/1,209.07,214.48,208.43,209.71,65076976
2019/4/30,202.28,202.62,198.35,199.9,46714127
2019/4/29,203.62,205.18,203.08,203.83,22290226
2019/4/26,204.11,204.21,201.34,203.52,18720919
2019/4/25,206.04,206.96,204.33,204.49,18614615
2019/4/24,206.56,207.68,206.26,206.37,17608157
2019/4/23,203.65,206.95,203.12,206.68,23412807
2019/4/22,202.05,204.15,201.56,203.75,19514406
2019/4/18,202.34,203.37,201.74,203.08,24288943
2019/4/17,198.77,202.6,197.85,202.35,29018099
